725,"[0, 227, 44, 6033, 0]","[1, 151, 97, 2668, 0]","[2, 199, 14, 2479, 0]","[3, 247, 88, 7444, 0]"
746,"[0, 151, 61, 6626, 0]","[1, 145, 73, 9234, 0]","[2, 294, 36, 8368, 0]","[3, 64, 53, 2689, 0]"
747,"[0, 127, 28, 5560, 0]","[1, 177, 42, 1154, 0]","[2, 219, 90, 5518, 0]","[3, 286, 51, 6634, 0]"
509,"[0, 264, 34, 3972, 0]","[1, 165, 81, 8139, 0]","[2, 211, 33, 1768, 0]","[3, 290, 41, 6575, 0]"
508,"[0, 248, 99, 2750, 0]","[1, 83, 20, 1392, 0]","[2, 148, 21, 5571, 0]","[3, 69, 53, 4733, 0]"
507,"[0, 100, 31, 7253, 0]","[1, 267, 10, 9682, 0]","[2, 223, 87, 1682, 0]","[3, 82, 85, 9707, 0]"
661,"[0, 97, 47, 2430, 0]","[1, 171, 71, 3035, 0]","[2, 61, 75, 1821, 0]","[3, 279, 26, 9674, 0]"
577,"[0, 100, 32, 5328, 0]","[1, 137, 69, 6280, 0]","[2, 229, 54, 4828, 0]","[3, 288, 4, 1320, 0]"
575,"[0, 292, 95, 6108, 0]","[1, 131, 10, 7047, 0]","[2, 152, 42, 913, 0]","[3, 179, 95, 4651, 0]"
576,"[0, 83, 46, 712, 0]","[1, 236, 93, 6962, 0]","[2, 85, 65, 2713, 0]","[3, 112, 95, 6685, 0]"
802,"[0, 203, 55, 5966, 0]","[1, 151, 43, 4862, 0]","[2, 299, 40, 6717, 0]","[3, 127, 39, 7353, 0]"
945,"[0, 242, 27, 8846, 0]","[1, 158, 85, 1775, 0]","[2, 71, 16, 6916, 0]","[3, 85, 15, 1869, 0]"
944,"[0, 226, 27, 1275, 0]","[1, 131, 55, 7298, 0]","[2, 241, 29, 9382, 0]","[3, 99, 6, 4938, 0]"
1008,"[0, 135, 87, 7716, 0]","[1, 207, 61, 3685, 0]","[2, 253, 26, 4336, 0]","[3, 164, 57, 4631, 0]"
1448,"[0, 104, 44, 1673, 0]","[1, 84, 90, 5860, 0]","[2, 272, 33, 6905, 0]","[3, 51, 8, 6393, 0]"
1447,"[0, 203, 60, 6364, 0]","[1, 164, 42, 9313, 0]","[2, 149, 7, 9183, 0]","[3, 200, 27, 1869, 0]"
1421,"[0, 190, 75, 7178, 0]","[1, 272, 29, 3792, 0]","[2, 96, 13, 8939, 0]","[3, 258, 14, 3628, 0]"
813,"[0, 124, 90, 9126, 0]","[1, 196, 79, 1260, 0]","[2, 261, 95, 2581, 0]","[3, 124, 6, 8941, 0]"
368,"[0, 191, 82, 852, 0]","[1, 276, 0, 9274, 0]","[2, 120, 72, 853, 0]","[3, 185, 35, 7579, 0]"
369,"[0, 245, 47, 4153, 0]","[1, 99, 7, 9301, 0]","[2, 66, 32, 3450, 0]","[3, 281, 22, 6800, 0]"
1584,"[0, 224, 47, 3471, 0]","[1, 88, 70, 9150, 0]","[2, 54, 87, 6835, 0]","[3, 61, 61, 1431, 0]"
814,"[0, 287, 49, 1182, 0]","[1, 177, 75, 3653, 0]","[2, 258, 1, 2876, 0]","[3, 229, 57, 4024, 0]"
477,"[0, 244, 50, 1542, 0]","[1, 141, 83, 5009, 0]","[2, 147, 68, 2806, 0]","[3, 164, 30, 2326, 1]"
1389,"[0, 199, 46, 8095, 0]","[1, 121, 22, 4917, 0]","[2, 215, 35, 4016, 0]","[3, 68, 19, 3184, 0]"
1390,"[0, 241, 97, 2951, 0]","[1, 134, 98, 3832, 0]","[2, 148, 10, 4884, 0]","[3, 175, 64, 4111, 0]"
1168,"[0, 263, 47, 6309, 0]","[1, 142, 1, 9338, 0]","[2, 239, 4, 9300, 0]","[3, 182, 97, 8881, 0]"
1167,"[0, 228, 78, 2824, 0]","[1, 171, 39, 9872, 0]","[2, 153, 77, 5662, 0]","[3, 254, 0, 9929, 0]"
1166,"[0, 117, 9, 3927, 0]","[1, 241, 88, 6058, 0]","[2, 265, 78, 6477, 0]","[3, 262, 77, 6355, 0]"
